sale_date,whidx,skuidx,qty
12-04-2019,69100,3269615,1
12-04-2019,81490,3481968,1
13-04-2019,65245,3269615,1
13-04-2019,69100,3269615,2
13-04-2019,70360,3269615,1
13-04-2019,81490,3481968,1
14-04-2019,5156,3481968,2
14-04-2019,65245,3269615,2
14-04-2019,70401,3269615,1
14-04-2019,81490,3481968,1
15-04-2019,5156,3481968,1
16-04-2019,5156,3481968,2
16-04-2019,65261,3269615,3
16-04-2019,70401,3269615,1
16-04-2019,81490,3481968,1
16-04-2019,83539,3269615,1
17-04-2019,5156,3481968,1
17-04-2019,37163,3481968,1
18-04-2019,37163,3481968,1
18-04-2019,68500,3269615,1
19-04-2019,5156,3481968,4
19-04-2019,65261,3269615,1
19-04-2019,68500,3269615,2
20-04-2019,34122,3481968,1
20-04-2019,37163,3481968,1
20-04-2019,65245,3269615,1
20-04-2019,65261,3269615,2
21-04-2019,65245,3269615,1
21-04-2019,69100,3269615,1
21-04-2019,83539,3269615,2
22-04-2019,5156,3481968,2
22-04-2019,65261,3269615,1
23-04-2019,81490,3481968,2
24-04-2019,70360,3269615,1
24-04-2019,83539,3269615,1
25-04-2019,5156,3481968,2
25-04-2019,37163,3481968,1
25-04-2019,65261,3269615,1
25-04-2019,81490,3481968,2
26-04-2019,69100,3269615,1
26-04-2019,70360,3269615,1
26-04-2019,70401,3269615,1
27-04-2019,65265,3269615,1
27-04-2019,68500,3269615,1
27-04-2019,83539,3269615,1
28-04-2019,5156,3481968,3
28-04-2019,37163,3481968,1
28-04-2019,68500,3269615,2
28-04-2019,69100,3269615,1
28-04-2019,70401,3269615,1
29-04-2019,5156,3481968,5
29-04-2019,34122,3481968,1
29-04-2019,37163,3481968,2
29-04-2019,83539,3269615,2
01-05-2019,5156,3481968,1
01-05-2019,34122,3481968,1
01-05-2019,37163,3481968,1
01-05-2019,65261,3269615,2
01-05-2019,65265,3269615,2
01-05-2019,69100,3269615,2
01-05-2019,70401,3269615,2
02-05-2019,65245,3269615,1
02-05-2019,65261,3269615,2
02-05-2019,69100,3269615,1
03-05-2019,65261,3269615,3
03-05-2019,69100,3269615,2
04-05-2019,65245,3269615,2
04-05-2019,65265,3269615,1
04-05-2019,70401,3269615,1
04-05-2019,81490,3481968,1
05-05-2019,34122,3481968,1
05-05-2019,65265,3269615,2
05-05-2019,70401,3269615,2
06-05-2019,65265,3269615,1
06-05-2019,69100,3269615,1
06-05-2019,70360,3269615,1
08-05-2019,37163,3481968,1
08-05-2019,65261,3269615,4
08-05-2019,70401,3269615,1
08-05-2019,83539,3269615,1
09-05-2019,65245,3269615,2
09-05-2019,65261,3269615,1
09-05-2019,65265,3269615,3
09-05-2019,69100,3269615,1
09-05-2019,83539,3269615,1
10-05-2019,34122,3481968,2
10-05-2019,65245,3269615,1
11-05-2019,65261,3269615,2
11-05-2019,69100,3269615,1
11-05-2019,70360,3269615,1
11-05-2019,70401,3269615,1
12-05-2019,37163,3481968,1
12-05-2019,65245,3269615,1
12-05-2019,83539,3269615,2
13-05-2019,5156,3481968,1
13-05-2019,65245,3269615,4
13-05-2019,65261,3269615,1
13-05-2019,65265,3269615,1
13-05-2019,81490,3481968,2
14-05-2019,5156,3481968,2
15-05-2019,34122,3481968,1
15-05-2019,68500,3269615,1
16-05-2019,81490,3481968,1
17-05-2019,65245,3269615,2
18-05-2019,37163,3481968,1
18-05-2019,65265,3269615,1
18-05-2019,69100,3269615,1
18-05-2019,70360,3269615,1
