,WHIDX,SKUIDX,SALE_DATE,TOTAL_QTY
748,32722,3338776,2020-06-17,1
749,32722,3338776,2020-06-18,1
750,32722,3338776,2020-06-24,1
751,32722,3338776,2020-07-04,1
752,32722,3338776,2020-07-05,1
753,32722,3338776,2020-07-06,1
754,32722,3338776,2020-07-08,1
755,32722,3338776,2020-07-09,1
756,32722,3338776,2020-07-13,1
757,32722,3338776,2020-07-15,1
758,32722,3338776,2020-07-17,1
759,32722,3338776,2020-07-18,1
760,32722,3338776,2020-07-29,1
761,32722,3338776,2020-07-30,1
762,32722,3338776,2020-08-12,1
763,32722,3338776,2020-08-14,1
764,32722,3338776,2020-08-20,1
765,32722,3338776,2020-08-22,1
766,32722,3338776,2020-09-03,1
767,32722,3338776,2020-09-08,1
768,32722,3338776,2020-09-11,1
769,32722,3338776,2020-09-13,1
770,32722,3338776,2020-09-16,1
771,32722,3338776,2020-09-19,1
772,32722,3338776,2020-09-24,1
773,32722,3338776,2020-09-27,1
774,32722,3338776,2020-10-07,1
775,32722,3338776,2020-10-08,1
776,32722,3338776,2020-10-10,1
777,32722,3338776,2020-10-18,1
778,32722,3338776,2020-10-19,1
779,32722,3338776,2020-10-23,1
780,32722,3338776,2020-10-25,1
781,32722,3338776,2020-11-02,1
782,32722,3338776,2020-11-04,1
783,32722,3338776,2020-11-09,1
784,32722,3338776,2020-11-13,1
785,32722,3338776,2020-11-14,1
786,32722,3338776,2020-11-20,1
787,32722,3338776,2020-11-24,1
788,32722,3338776,2020-12-05,1
789,32722,3338776,2020-12-08,1
790,32722,3338776,2020-12-09,1
791,32722,3338776,2020-12-11,1
792,32722,3338776,2020-12-12,1
793,32722,3338776,2020-12-15,1
794,34082,3338776,2019-01-09,1
795,34082,3338776,2019-01-11,1
796,34082,3338776,2019-01-15,1
797,34082,3338776,2019-07-07,1
798,34082,3338776,2019-07-09,1
799,34082,3338776,2019-07-13,1
800,34082,3338776,2019-07-14,1
801,34082,3338776,2019-07-18,1
802,34082,3338776,2019-07-19,1
803,34082,3338776,2019-07-20,1
804,34082,3338776,2019-07-22,1
805,34082,3338776,2019-07-23,1
806,34082,3338776,2019-07-26,1
807,34082,3338776,2019-07-27,1
808,34082,3338776,2019-08-01,1
809,34082,3338776,2019-08-05,1
810,34082,3338776,2019-08-12,1
811,34082,3338776,2019-08-13,1
812,34082,3338776,2019-08-16,1
813,34082,3338776,2019-08-20,1
814,34082,3338776,2019-08-24,1
815,34082,3338776,2019-08-26,1
816,34082,3338776,2019-08-27,1
817,34082,3338776,2019-09-01,1
818,34082,3338776,2019-09-04,1
819,34082,3338776,2019-09-06,1
820,34082,3338776,2019-09-07,1
821,34082,3338776,2019-09-08,1
822,34082,3338776,2019-09-10,1
823,34082,3338776,2019-09-12,1
824,34082,3338776,2019-09-13,1
825,34082,3338776,2019-09-15,1
826,34082,3338776,2019-09-18,1
827,34082,3338776,2019-09-22,1
828,34082,3338776,2019-09-24,1
829,34082,3338776,2019-09-28,1
830,34082,3338776,2019-09-30,1
831,34082,3338776,2019-10-01,1
832,34082,3338776,2019-10-22,1
833,34082,3338776,2019-10-23,1
834,34082,3338776,2019-10-24,1
835,34082,3338776,2019-10-25,1
836,34082,3338776,2019-10-27,1
837,34082,3338776,2019-10-29,1
838,34082,3338776,2019-11-05,1
839,34082,3338776,2019-11-07,1
840,34082,3338776,2019-11-08,1
841,34082,3338776,2019-11-10,1
842,34082,3338776,2019-11-15,1
843,34082,3338776,2019-11-19,1
844,34082,3338776,2019-11-20,1
845,34082,3338776,2019-11-24,1
846,34082,3338776,2019-11-28,1
847,34082,3338776,2019-12-04,1
848,34082,3338776,2019-12-08,1
849,34082,3338776,2019-12-10,1
850,34082,3338776,2019-12-11,1
851,34082,3338776,2019-12-16,1
852,34082,3338776,2019-12-20,1
853,34082,3338776,2020-01-02,1
854,34082,3338776,2020-01-04,1
855,34082,3338776,2020-01-11,1
856,34082,3338776,2020-01-13,1
857,34082,3338776,2020-01-25,1
858,34082,3338776,2020-01-26,1
859,34082,3338776,2020-01-27,1
860,34082,3338776,2020-01-30,1
861,34082,3338776,2020-01-31,1
862,34082,3338776,2020-02-02,1
863,34082,3338776,2020-02-03,1
864,34082,3338776,2020-02-04,1
865,34082,3338776,2020-02-05,1
866,34082,3338776,2020-02-07,1
867,34082,3338776,2020-02-08,1
868,34082,3338776,2020-02-09,1
869,34082,3338776,2020-02-10,1
870,34082,3338776,2020-02-13,1
871,34082,3338776,2020-02-14,1
872,34082,3338776,2020-02-17,1
873,34082,3338776,2020-02-20,1
874,34082,3338776,2020-02-22,1
875,34082,3338776,2020-02-23,1
876,34082,3338776,2020-02-28,1
877,34082,3338776,2020-03-01,1
878,34082,3338776,2020-03-02,1
879,34082,3338776,2020-03-04,1
880,34082,3338776,2020-03-15,1
881,34082,3338776,2020-03-17,1
882,34082,3338776,2020-03-18,1
883,34082,3338776,2020-03-19,1
884,34082,3338776,2020-03-20,1
885,34082,3338776,2020-05-17,1
886,34082,3338776,2020-05-18,1
887,34082,3338776,2020-05-21,1
888,34082,3338776,2020-05-25,1
889,34082,3338776,2020-05-30,1
890,34082,3338776,2020-06-01,1
891,34082,3338776,2020-06-02,1
892,34082,3338776,2020-06-07,1
893,34082,3338776,2020-06-11,1
894,34082,3338776,2020-06-13,1
895,34082,3338776,2020-06-23,1
896,34082,3338776,2020-06-24,1
897,34082,3338776,2020-06-29,1
898,34082,3338776,2020-06-30,1
899,34082,3338776,2020-07-04,1
900,34082,3338776,2020-07-07,1
901,34082,3338776,2020-07-08,1
902,34082,3338776,2020-07-12,1
903,34082,3338776,2020-07-19,1
904,34082,3338776,2020-07-22,1
905,34082,3338776,2020-07-27,1
906,34082,3338776,2020-07-29,1
907,34082,3338776,2020-07-31,1
908,34082,3338776,2020-08-02,1
909,34082,3338776,2020-08-04,1
910,34082,3338776,2020-08-09,1
911,34082,3338776,2020-08-10,1
912,34082,3338776,2020-08-14,1
913,34082,3338776,2020-08-18,1
914,34082,3338776,2020-08-27,1
915,34082,3338776,2020-08-28,1
916,34082,3338776,2020-08-31,1
917,34082,3338776,2020-09-01,1
918,34082,3338776,2020-09-06,1
919,34082,3338776,2020-09-09,1
920,34082,3338776,2020-09-11,1
921,34082,3338776,2020-09-12,1
922,34082,3338776,2020-09-13,1
923,34082,3338776,2020-09-14,1
924,34082,3338776,2020-09-15,1
925,34082,3338776,2020-09-16,1
926,34082,3338776,2020-09-17,1
927,34082,3338776,2020-09-20,1
928,34082,3338776,2020-09-24,1
929,34082,3338776,2020-09-26,1
930,34082,3338776,2020-09-28,1
931,34082,3338776,2020-09-29,1
932,34082,3338776,2020-10-02,1
933,34082,3338776,2020-10-04,1
934,34082,3338776,2020-10-05,1
935,34082,3338776,2020-10-12,1
936,34082,3338776,2020-10-16,1
937,34082,3338776,2020-10-23,1
938,34082,3338776,2020-10-27,1
939,34082,3338776,2020-10-29,1
940,34082,3338776,2020-11-01,1
941,34082,3338776,2020-11-02,1
942,34082,3338776,2020-11-06,1
943,34082,3338776,2020-11-09,1
944,34082,3338776,2020-11-10,1
945,34082,3338776,2020-11-15,1
946,34082,3338776,2020-11-16,1
947,34082,3338776,2020-11-20,1
948,34082,3338776,2020-11-21,1
949,34082,3338776,2020-11-26,1
950,34082,3338776,2020-11-29,1
951,34082,3338776,2020-12-03,1
952,34082,3338776,2020-12-04,1
953,34082,3338776,2020-12-06,1
954,34082,3338776,2020-12-08,1
955,34082,3338776,2020-12-20,1
956,34082,3338776,2020-12-21,1
957,34082,3338776,2020-12-23,1
958,34082,3338776,2020-12-24,1
959,34082,3338776,2020-12-25,1
960,34082,3338776,2020-12-29,1
961,37203,3338776,2019-07-13,1
962,37203,3338776,2019-07-18,1
963,37203,3338776,2019-07-27,1
964,37203,3338776,2019-07-28,1
965,37203,3338776,2019-07-29,1
966,37203,3338776,2019-07-30,1
967,37203,3338776,2019-07-31,1
968,37203,3338776,2019-08-09,1
969,37203,3338776,2019-08-10,1
970,37203,3338776,2019-08-12,1
971,37203,3338776,2019-08-13,1
972,37203,3338776,2019-08-15,1
973,37203,3338776,2019-08-17,1
974,37203,3338776,2019-08-19,1
975,37203,3338776,2019-08-21,1
976,37203,3338776,2019-08-24,1
977,37203,3338776,2019-08-30,1
978,37203,3338776,2019-09-02,1
979,37203,3338776,2019-09-04,1
980,37203,3338776,2019-09-05,1
981,37203,3338776,2019-09-08,1
982,37203,3338776,2019-09-09,1
983,37203,3338776,2019-09-12,1
984,37203,3338776,2019-09-15,1
985,37203,3338776,2019-09-22,1
986,37203,3338776,2019-09-25,1
987,37203,3338776,2019-09-29,1
988,37203,3338776,2019-09-30,1
989,37203,3338776,2019-10-05,1
990,37203,3338776,2019-10-06,1
991,37203,3338776,2019-10-07,1
992,37203,3338776,2019-10-08,1
993,37203,3338776,2019-10-09,1
994,37203,3338776,2019-10-11,1
995,37203,3338776,2019-10-12,1
996,37203,3338776,2019-10-13,1
997,37203,3338776,2019-10-17,1
998,37203,3338776,2019-10-18,1
999,37203,3338776,2019-10-20,1
1000,37203,3338776,2019-10-24,1
1001,37203,3338776,2019-10-30,1
1002,37203,3338776,2019-10-31,1
1003,37203,3338776,2019-11-05,1
1004,37203,3338776,2019-11-09,1
1005,37203,3338776,2019-11-17,1
1006,37203,3338776,2019-11-24,1
1007,37203,3338776,2019-11-25,1
1008,37203,3338776,2019-12-02,1
1009,37203,3338776,2019-12-07,1
1010,37203,3338776,2019-12-15,1
1011,37203,3338776,2019-12-16,1
1012,37203,3338776,2019-12-17,1
1013,37203,3338776,2019-12-25,1
1014,37203,3338776,2019-12-27,1
1015,37203,3338776,2019-12-28,1
1016,37203,3338776,2020-01-04,1
1017,37203,3338776,2020-01-14,1
1018,37203,3338776,2020-01-15,1
1019,37203,3338776,2020-01-17,1
1020,37203,3338776,2020-01-24,1
1021,37203,3338776,2020-01-27,1
1022,37203,3338776,2020-01-28,1
1023,37203,3338776,2020-02-01,1
1024,37203,3338776,2020-02-03,1
1025,37203,3338776,2020-02-14,1
1026,37203,3338776,2020-02-21,1
1027,37203,3338776,2020-02-27,1
1028,37203,3338776,2020-03-03,1
1029,37203,3338776,2020-03-09,1
1030,37203,3338776,2020-03-11,1
1031,37203,3338776,2020-03-20,1
1032,37203,3338776,2020-05-21,1
1033,37203,3338776,2020-05-24,1
1034,37203,3338776,2020-05-25,1
1035,37203,3338776,2020-05-27,1
1036,37203,3338776,2020-05-31,1
1037,37203,3338776,2020-06-02,1
1038,37203,3338776,2020-06-03,1
1039,37203,3338776,2020-06-04,1
1040,37203,3338776,2020-06-11,1
1041,37203,3338776,2020-06-18,1
1042,37203,3338776,2020-06-24,1
1043,37203,3338776,2020-06-30,1
1044,37203,3338776,2020-07-04,1
1045,37203,3338776,2020-07-18,1
1046,37203,3338776,2020-07-23,1
1047,37203,3338776,2020-07-30,1
1048,37203,3338776,2020-07-31,1
1049,37203,3338776,2020-08-01,1
1050,37203,3338776,2020-08-02,1
1051,37203,3338776,2020-08-04,1
1052,37203,3338776,2020-08-07,1
1053,37203,3338776,2020-08-14,1
1054,37203,3338776,2020-08-25,1
1055,37203,3338776,2020-08-29,1
1056,37203,3338776,2020-09-08,1
1057,37203,3338776,2020-09-10,1
1058,37203,3338776,2020-09-23,1
1059,37203,3338776,2020-09-24,1
1060,37203,3338776,2020-10-01,1
1061,37203,3338776,2020-10-02,1
1062,37203,3338776,2020-10-03,1
1063,37203,3338776,2020-10-05,1
1064,37203,3338776,2020-10-13,1
1065,37203,3338776,2020-10-16,1
1066,37203,3338776,2020-10-25,1
1067,37203,3338776,2020-11-04,1
1068,37203,3338776,2020-11-06,1
1069,37203,3338776,2020-11-11,1
1070,37203,3338776,2020-11-12,1
1071,37203,3338776,2020-11-15,1
1072,37203,3338776,2020-11-16,1
1073,37203,3338776,2020-11-18,1
1074,37203,3338776,2020-11-24,1
1075,37203,3338776,2020-11-26,1
1076,37203,3338776,2020-11-28,1
1077,37203,3338776,2020-12-02,1
1078,37203,3338776,2020-12-07,1
1079,37203,3338776,2020-12-10,1
1080,37203,3338776,2020-12-12,1
1081,37203,3338776,2020-12-14,1
1082,37203,3338776,2020-12-17,1
1083,37203,3338776,2020-12-26,1
1084,37203,3338776,2020-12-27,1
1085,38243,3338776,2019-07-14,1
1086,38243,3338776,2019-07-19,1
1087,38243,3338776,2019-07-26,1
1088,38243,3338776,2019-07-29,1
1089,38243,3338776,2019-07-31,1
1090,38243,3338776,2019-08-01,1
1091,38243,3338776,2019-08-04,1
1092,38243,3338776,2019-08-05,1
1093,38243,3338776,2019-08-16,1
1094,38243,3338776,2019-08-17,1
1095,38243,3338776,2019-08-20,1
1096,38243,3338776,2019-08-23,1
1097,38243,3338776,2019-08-24,1
1098,38243,3338776,2019-08-31,1
1099,38243,3338776,2019-09-02,1
1100,38243,3338776,2019-09-03,1
1101,38243,3338776,2019-09-06,1
1102,38243,3338776,2019-09-11,1
1103,38243,3338776,2019-09-16,1
1104,38243,3338776,2019-09-19,1
1105,38243,3338776,2019-09-20,1
1106,38243,3338776,2019-10-01,1
1107,38243,3338776,2019-10-02,1
1108,38243,3338776,2019-10-05,1
1109,38243,3338776,2019-10-15,1
1110,38243,3338776,2019-10-19,1
1111,38243,3338776,2019-10-22,1
1112,38243,3338776,2019-10-31,1
1113,38243,3338776,2019-11-03,1
1114,38243,3338776,2019-11-15,1
1115,38243,3338776,2019-11-24,1
1116,38243,3338776,2019-11-26,1
1117,38243,3338776,2019-12-01,1
1118,38243,3338776,2019-12-05,1
1119,38243,3338776,2019-12-06,1
1120,38243,3338776,2019-12-09,1
1121,38243,3338776,2019-12-13,1
1122,38243,3338776,2019-12-14,1
1123,38243,3338776,2019-12-21,1
1124,38243,3338776,2019-12-22,1
1125,38243,3338776,2019-12-25,1
1126,38243,3338776,2019-12-26,1
1127,38243,3338776,2019-12-27,1
1128,38243,3338776,2019-12-28,1
1129,38243,3338776,2019-12-30,1
1130,38243,3338776,2020-01-02,1
1131,38243,3338776,2020-01-05,1
1132,38243,3338776,2020-01-07,1
1133,38243,3338776,2020-01-08,1
1134,38243,3338776,2020-01-11,1
1135,38243,3338776,2020-01-13,1
1136,38243,3338776,2020-01-30,1
1137,38243,3338776,2020-01-31,1
1138,38243,3338776,2020-02-03,1
1139,38243,3338776,2020-02-04,1
1140,38243,3338776,2020-02-08,1
1141,38243,3338776,2020-02-11,1
1142,38243,3338776,2020-02-12,1
1143,38243,3338776,2020-02-20,1
1144,38243,3338776,2020-02-21,1
1145,38243,3338776,2020-02-23,1
1146,38243,3338776,2020-02-29,1
1147,38243,3338776,2020-03-04,1
1148,38243,3338776,2020-03-05,1
1149,38243,3338776,2020-03-09,1
1150,38243,3338776,2020-03-17,1
1151,38243,3338776,2020-05-23,1
1152,38243,3338776,2020-05-26,1
1153,38243,3338776,2020-05-27,1
1154,38243,3338776,2020-05-28,1
1155,38243,3338776,2020-05-30,1
1156,38243,3338776,2020-06-01,1
1157,38243,3338776,2020-06-02,1
1158,38243,3338776,2020-06-05,1
1159,38243,3338776,2020-06-15,1
1160,38243,3338776,2020-06-20,1
1161,38243,3338776,2020-06-24,1
1162,38243,3338776,2020-07-04,1
1163,38243,3338776,2020-07-05,1
1164,38243,3338776,2020-07-17,1
1165,38243,3338776,2020-07-20,1
1166,38243,3338776,2020-07-24,1
1167,38243,3338776,2020-07-26,1
1168,38243,3338776,2020-07-28,1
1169,38243,3338776,2020-07-31,1
1170,38243,3338776,2020-08-01,1
1171,38243,3338776,2020-08-02,1
1172,38243,3338776,2020-08-09,1
1173,38243,3338776,2020-08-10,1
1174,38243,3338776,2020-08-15,1
1175,38243,3338776,2020-08-16,1
1176,38243,3338776,2020-08-25,1
1177,38243,3338776,2020-08-26,1
1178,38243,3338776,2020-08-29,1
1179,38243,3338776,2020-09-03,1
1180,38243,3338776,2020-09-04,1
1181,38243,3338776,2020-09-08,1
1182,38243,3338776,2020-09-11,1
1183,38243,3338776,2020-09-21,1
1184,38243,3338776,2020-09-23,1
1185,38243,3338776,2020-09-29,1
1186,38243,3338776,2020-10-03,1
1187,38243,3338776,2020-10-05,1
1188,38243,3338776,2020-10-13,1
1189,38243,3338776,2020-10-14,1
1190,38243,3338776,2020-10-16,1
1191,38243,3338776,2020-10-20,1
1192,38243,3338776,2020-10-25,1
1193,38243,3338776,2020-10-28,1
1194,38243,3338776,2020-10-30,1
1195,38243,3338776,2020-10-31,1
1196,38243,3338776,2020-11-08,1
1197,38243,3338776,2020-11-11,1
1198,38243,3338776,2020-11-17,1
1199,38243,3338776,2020-11-23,1
